Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,Oc1cc(O)c2c(c1)OC(C(C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,C22H18O11,458.37,33,18,0.14,4,11,8,112.06,197.37,n/d,1.17,1.91,-0.44,0.57,0.80,-3.56,1.27e-01,2.76e-04,Soluble,-4.91,5.64e-03,1.23e-05,Moderately soluble,-2.50,1.46e+00,3.18e-03,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-8.27,2,0,1,1,3,0.17,1,1,1,4.20
Molecule 2,COc1cc2c(cc1OC)CC(C2=O)CC1CCN(CC1)Cc1ccccc1,C24H29NO3,379.49,28,12,0.46,6,4,0,115.31,38.77,n/d,4.28,3.83,3.06,4.91,4.02,-4.81,5.87e-03,1.55e-05,Moderately soluble,-4.81,5.92e-03,1.56e-05,Moderately soluble,-6.90,4.78e-05,1.26e-07,Poorly soluble,High,Yes,Yes,n/d,n/d,n/d,n/d,n/d,-5.58,0,0,0,0,0,0.55,0,0,2,3.36
Molecule 3,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(cc2)O)ccc1O,C20H18O5,338.35,25,12,0.10,7,5,2,96.31,83.83,n/d,3.32,3.14,1.80,3.95,3.05,-3.92,4.04e-02,1.20e-04,Soluble,-4.76,5.92e-03,1.75e-05,Moderately soluble,-4.34,1.54e-02,4.55e-05,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.01,0,0,0,0,0,0.55,0,2,0,2.82
Molecule 4,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O6,368.38,27,12,0.14,8,6,2,102.80,93.06,n/d,3.20,3.15,1.47,4.04,2.97,-3.94,4.22e-02,1.15e-04,Soluble,-4.83,5.50e-03,1.49e-05,Moderately soluble,-4.45,1.31e-02,3.56e-05,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.28,0,0,0,0,0,0.55,0,2,2,2.97
Molecule 5,O=C(CC(=O)C=Cc1ccc(cc1)O)C=Cc1ccc(cc1)O,C19H16O4,308.33,23,12,0.05,6,4,2,89.82,74.60,n/d,3.26,3.13,2.13,3.87,3.10,-3.80,4.94e-02,1.60e-04,Soluble,-4.50,9.73e-03,3.16e-05,Moderately soluble,-4.23,1.81e-02,5.86e-05,Moderately soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.87,0,0,0,0,0,0.55,0,2,0,2.59
Molecule 6,COc1ccc(cc1O)C1CC(=O)c2c(O1)cc(cc2O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O,C28H34O15,610.56,43,12,0.54,7,15,8,141.41,234.29,n/d,-0.14,-1.48,-3.04,-1.55,-1.55,-3.28,3.19e-01,5.23e-04,Soluble,-4.33,2.88e-02,4.72e-05,Moderately soluble,-0.58,1.60e+02,2.62e-01,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-10.12,3,4,1,1,4,0.17,0,0,1,6.34
Molecule 7,O=C(OC(C(=O)O)Cc1ccc(c(c1)O)O)C=Cc1ccc(c(c1)O)O,C18H16O8,360.31,26,12,0.11,7,8,5,91.40,144.52,n/d,2.36,1.65,0.90,1.50,1.60,-3.44,1.31e-01,3.63e-04,Soluble,-5.04,3.32e-03,9.22e-06,Moderately soluble,-2.17,2.41e+00,6.70e-03,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-6.82,0,0,1,1,0,0.56,1,2,1,3.38
Molecule 8,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,C15H10O5,270.24,20,16,0.00,1,5,3,73.99,90.90,n/d,1.88,2.58,0.52,1.13,1.53,-3.23,1.61e-01,5.94e-04,Soluble,-3.41,1.05e-01,3.88e-04,Soluble,-3.72,5.17e-02,1.91e-04,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.61,0,0,0,0,0,0.55,1,1,0,3.02
Molecule 9,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,C14H6O8,302.19,22,16,0.00,0,8,4,75.31,141.34,n/d,3.35,1.31,0.14,-0.33,1.12,-4.36,1.31e-02,4.34e-05,Moderately soluble,-6.00,3.05e-04,1.01e-06,Moderately soluble,-3.35,1.36e-01,4.49e-04,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.76,0,0,1,1,0,0.55,1,3,0,3.17
Molecule 10,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,C15H10O4,254.24,19,16,0.00,1,4,2,71.97,70.67,n/d,2.23,2.87,1.08,1.63,1.95,-3.38,1.06e-01,4.18e-04,Soluble,-3.35,1.14e-01,4.47e-04,Soluble,-4.30,1.28e-02,5.05e-05,Moderately soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.27,0,0,0,0,0,0.55,0,0,0,2.93
